filename,width,height,class,xmin,ymin,xmax,ymax
0000.jpg,332,133,no_comercial,1,39,326,98
0002.jpg,332,133,comercial,3,68,80,106
0002.jpg,332,133,no_comercial,84,65,327,102
0003.jpg,332,133,no_comercial,4,52,323,110
0004.jpg,332,133,no_comercial,1,59,326,124
0005.jpg,332,133,no_comercial,33,55,328,130
0005.jpg,332,133,comercial,0,52,27,97
0008.jpg,332,133,no_comercial,1,49,322,122
0009.jpg,332,133,no_comercial,4,40,325,123
0012.jpg,332,133,comercial,238,63,273,94
0012.jpg,332,133,no_comercial,2,64,235,103
0013.jpg,332,133,no_comercial,24,31,330,100
0014.jpg,332,133,no_comercial,1,36,330,97
0015.jpg,332,133,no_comercial,0,33,324,113
0016.jpg,332,133,comercial,13,52,79,120
0016.jpg,332,133,comercial,78,55,121,109
0016.jpg,332,133,comercial,108,10,160,100
0016.jpg,332,133,comercial,222,59,263,105
0016.jpg,332,133,no_comercial,263,42,329,106
0017.jpg,332,133,no_comercial,86,37,268,118
0017.jpg,332,133,comercial,54,56,78,98
0017.jpg,332,133,comercial,19,53,55,93
0022.jpg,332,133,no_comercial,3,37,324,107
0023.jpg,332,133,no_comercial,2,38,321,100
0024.jpg,332,133,no_comercial,1,36,329,91
0025.jpg,332,133,no_comercial,0,42,324,109
0026.jpg,332,133,no_comercial,0,32,330,83
0029.jpg,332,133,comercial,179,37,268,96
0029.jpg,332,133,no_comercial,6,20,141,85
0030.jpg,332,133,no_comercial,2,38,321,129
0033.jpg,332,133,no_comercial,0,29,326,126
0034.jpg,332,133,no_comercial,1,29,329,125
0035.jpg,332,133,no_comercial,5,34,331,122
0036.jpg,332,133,no_comercial,4,46,324,128
0040.jpg,332,133,comercial,172,66,194,96
0040.jpg,332,133,comercial,0,48,42,99
0041.jpg,332,133,no_comercial,0,27,331,108
0042.jpg,332,133,no_comercial,0,32,331,115
0045.jpg,332,133,no_comercial,0,34,331,102
0046.jpg,332,133,no_comercial,0,36,331,131
0047.jpg,332,133,no_comercial,0,33,331,112
0048.jpg,332,133,no_comercial,292,40,331,88
0048.jpg,332,133,no_comercial,248,37,288,88
0048.jpg,332,133,no_comercial,191,33,245,93
0048.jpg,332,133,no_comercial,163,37,189,89
0048.jpg,332,133,no_comercial,136,45,163,93
0048.jpg,332,133,no_comercial,87,42,132,94
0048.jpg,332,133,comercial,33,61,67,95
0049.jpg,332,133,no_comercial,7,39,39,75
0049.jpg,332,133,no_comercial,43,42,72,79
0049.jpg,332,133,no_comercial,75,39,97,84
0049.jpg,332,133,no_comercial,97,33,146,92
0049.jpg,332,133,no_comercial,146,30,200,96
0049.jpg,332,133,no_comercial,201,37,248,97
0049.jpg,332,133,no_comercial,244,37,296,96
0050.jpg,332,133,no_comercial,0,37,331,111
0052.jpg,332,133,no_comercial,59,36,189,114
0052.jpg,332,133,comercial,198,29,283,103
0053.jpg,332,133,comercial,33,40,145,110
0053.jpg,332,133,no_comercial,151,37,330,111
0054.jpg,332,133,no_comercial,1,36,327,110
0055.jpg,332,133,comercial,36,42,91,96
0055.jpg,332,133,comercial,93,64,127,94
0055.jpg,332,133,comercial,222,62,270,97
0055.jpg,332,133,comercial,237,42,299,90
0056.jpg,332,133,comercial,90,58,158,97
0056.jpg,332,133,no_comercial,175,48,280,98
0056.jpg,332,133,no_comercial,288,56,330,97
0059.jpg,332,133,comercial,117,46,179,99
0062.jpg,332,133,no_comercial,1,38,322,100
0064.jpg,332,133,no_comercial,13,43,72,117
0064.jpg,332,133,no_comercial,83,25,223,120
0064.jpg,332,133,no_comercial,231,22,329,122
